coord,country,geoname,id,langs,name,stat,stations,zoom,latf,lngf,maxtf,mints,humidf,speedf,cloudf,sunrise,sunset,Daylight
"{'lon': 130.833328, 'lat': 33.833328}",JP,"{'cl': 'P', 'code': 'PPL', 'parent': 1863958}",1859307.0,,Kitakyushu,"{'level': 1.0, 'population': 997536}","[{'id': 7534, 'dist': 42, 'kf': 1}, {'id': 7546, 'dist': 44, 'kf': 1}, {'id': 7552, 'dist': 18, 'kf': 1}, {'id': 7578, 'dist': 49, 'kf': 1}, {'id': 7590, 'dist': 27, 'kf': 1}, {'id': 9133, 'dist': 48, 'kf': 1}, {'id': 10245, 'dist': 47, 'kf': 1}, {'id': 10426, 'dist': 9, 'kf': 1}, {'id': 10712, 'dist': 43, 'kf': 1}, {'id': 10940, 'dist': 44, 'kf': 1}, {'id': 27910, 'dist': 14, 'kf': 1}, {'id': 28336, 'dist': 46, 'kf': 1}]",8.0,33.83,130.83,84.2,78.01,88,12.75,75,1563740446,1563791104,14.071666666666667
"{'lon': 30.956141, 'lat': 30.97225}",EG,"{'cl': 'P', 'code': 'PPL', 'parent': 361294}",350376.0,,Qutur,"{'level': 1.0, 'population': 23842}","[{'id': 6388, 'dist': 98, 'kf': 1}]",11.0,30.97,30.96,83.17,83.17,59,6.58,40,1563764803,1563814686,13.856388888888889
"{'lon': -46.138611, 'lat': -23.854441}",BR,"{'cl': 'P', 'code': 'PPL', 'parent': 6322137}",3470052.0,,Bertioga,"{'level': 1.0, 'population': 35759}","[{'id': 4577, 'dist': 17, 'kf': 1}]",10.0,-23.85,-46.14,62.6,55.4,93,5.82,0,1563788674,1563827825,10.875277777777777
"{'lon': 80.849998, 'lat': 16.783331}",IN,"{'cl': 'P', 'code': 'PPL', 'parent': 1278629}",1261110.0,[{'link': 'http://en.wikipedia.org/wiki/Nuzvid'}],Nuzvid,"{'level': 1.0, 'population': 53391}",,9.0,16.79,80.85,91.4,91.4,66,4.7,40,1563754403,1563801138,12.981944444444444
"{'lon': -38.68, 'lat': -12.6275}",BR,"{'cl': 'P', 'code': 'PPL', 'parent': 3471168}",3449116.0,,Sao Francisco do Conde,"{'level': 1.0, 'population': 24614}","[{'id': 4578, 'dist': 49, 'kf': 1}]",11.0,-12.63,-38.68,73.4,73.4,88,19.46,75,1563785782,1563827135,11.486944444444445
"{'lon': 73.433327, 'lat': 31.33333}",PK,"{'cl': 'P', 'code': 'PPL', 'parent': 1167710}",1176106.0,[{'link': 'http://en.wikipedia.org/wiki/Jaranwala'}],Jaranwala,"{'level': 1.0, 'population': 119785}","[{'id': 7133, 'dist': 94, 'kf': 1}]",9.0,31.33,73.42,102.07,102.07,33,6.44,4,1563754562,1563804545,13.884166666666667
"{'lon': 62.325409, 'lat': 25.12163}",PK,"{'cl': 'P', 'code': 'PPLA2', 'parent': 1183606}",1177446.0,"[{'ar': 'Ø¬Ù\x88Ø§Ø¯Ø±'}, {'de': 'Gwadar'}, {'en': 'Gwadar'}, {'fa': 'Ú¯Ù\x88Ø§Ø¯Ø±'}, {'link': 'http://en.wikipedia.org/wiki/Gwadar'}, {'nl': 'Gwadar'}, {'ru': 'Ð\x93Ð²Ð°Ð´Ð°Ñ\x80'}, {'sv': 'Gwadar'}, {'ur': 'Ú¯Ù\x88Ø§Ø¯Ø±'}]",Gwadar,"{'level': 1.0, 'population': 51901}",,8.0,25.12,62.33,82.45,82.45,73,5.73,0,1563757971,1563806460,13.469166666666666
"{'lon': 16.50164, 'lat': 50.580078}",PL,"{'cl': 'P', 'code': 'PPL', 'parent': 7531482}",3090768.0,,Nowa Ruda,"{'level': 1.0, 'population': 24753}","[{'id': 10142, 'dist': 49, 'kf': 1}]",10.0,50.58,16.5,68.0,62.01,68,6.93,20,1563764804,1563821626,15.783888888888889
"{'lon': 92.226196, 'lat': 22.196501}",BD,"{'cl': 'P', 'code': 'PPL', 'parent': 1337200}",1185270.0,"[{'bn': 'BÄ\x81ndarban'}, {'ru': 'Ð\x91Ð°Ð½Ð´Ð°Ñ\x80Ð±Ð°Ð½'}]",Bandarban,"{'level': 1.0, 'population': 32523}","[{'id': 7878, 'dist': 43, 'kf': 1}]",10.0,22.2,92.22,84.2,84.2,83,6.17,75,1563751116,1563798967,13.291944444444445
"{'lon': 5.05, 'lat': 9.28333}",NG,"{'cl': 'P', 'code': 'PPL', 'parent': 2328926}",2329981.0,,Mokwa,"{'level': 1.0, 'population': 21128}",,9.0,9.3,5.05,72.55,72.55,94,4.7,99,1563773312,1563818614,12.58388888888889
"{'lon': -81.917923, 'lat': 41.455318}",US,"{'cl': 'P', 'code': 'PPL', 'parent': 5151606}",5176517.0,"[{'link': 'http://en.wikipedia.org/wiki/Westlake%2C_Ohio'}, {'post': '44145'}]",Westlake,"{'level': 1.0, 'population': 32729}","[{'id': 2166, 'dist': 21, 'kf': 1}, {'id': 2167, 'dist': 6, 'kf': 1}, {'id': 2182, 'dist': 31, 'kf': 1}, {'id': 3708, 'dist': 30, 'kf': 1}, {'id': 27695, 'dist': 29, 'kf': 1}, {'id': 29629, 'dist': 33, 'kf': 1}, {'id': 30330, 'dist': 19, 'kf': 1}, {'id': 31326, 'dist': 22, 'kf': 1}, {'id': 31339, 'dist': 4, 'kf': 1}, {'id': 31427, 'dist': 14, 'kf': 1}, {'id': 32245, 'dist': 15, 'kf': 1}, {'id': 32344, 'dist': 1, 'kf': 1}, {'id': 32581, 'dist': 20, 'kf': 1}, {'id': 32784, 'dist': 18, 'kf': 1}, {'id': 33670, 'dist': 40, 'kf': 1}, {'id': 34660, 'dist': 11, 'kf': 1}, {'id': 35008, 'dist': 12, 'kf': 1}, {'id': 35845, 'dist': 21, 'kf': 1}, {'id': 36140, 'dist': 47, 'kf': 1}]",11.0,41.46,-81.92,72.0,64.4,73,8.05,90,1563790361,1563843312,14.70861111111111
"{'lon': 89.56723, 'lat': 22.81348}",BD,"{'cl': 'P', 'code': 'PPLA', 'parent': 1337210}",1336135.0,"[{'bn': 'à¦\x96à§\x81à¦²à¦¨à¦¾'}, {'de': 'Khulna'}, {'en': 'Khulna'}, {'fi': 'Khulna'}, {'fr': 'Khulna'}, {'ja': 'ã\x82¯ã\x83«ã\x83\x8a'}, {'link': 'http://en.wikipedia.org/wiki/Khulna'}, {'lt': 'Khulna'}, {'nl': 'Khulna'}, {'pl': 'Khulna'}, {'pt': 'Khulna'}, {'ru': 'Ð\x9aÑ\x85Ñ\x83Ð»Ð½Ð°'}, {'sv': 'Khulna'}]",Khulna,"{'level': 1.0, 'population': 1342339}",,8.0,22.82,89.55,94.69,94.69,55,11.27,99,1563751690,1563799675,13.329166666666667
"{'lon': -3.43333, 'lat': 47.73333}",FR,"{'cl': 'P', 'code': 'PPL', 'parent': 6437335}",2986732.0,"[{'br': 'PlaÃ±vour'}, {'ceb': 'Ploemeur'}, {'en': 'Ploemeur'}, {'fr': 'Ploemeur'}, {'it': 'Ploemeur'}, {'link': 'http://en.wikipedia.org/wiki/Ploemeur'}, {'nl': 'Ploemeur'}, {'pl': 'Ploemeur'}, {'post': '56270'}, {'pt': 'Ploemeur'}]",Ploemeur,"{'level': 1.0, 'population': 20652}","[{'id': 5632, 'dist': 3, 'kf': 1}, {'id': 28959, 'dist': 14, 'kf': 1}, {'id': 31969, 'dist': 36, 'kf': 1}]",11.0,47.73,-3.43,60.01,55.99,100,3.36,90,1563770278,1563825719,15.400277777777777
"{'lon': -36.35083, 'lat': -9.78194}",BR,"{'cl': 'P', 'code': 'PPL', 'parent': 3408096}",3403611.0,[{'link': 'http://en.wikipedia.org/wiki/Campo_Alegre%2C_Alagoas'}],Campo Alegre,"{'level': 1.0, 'population': 16785}",,10.0,-9.78,-36.36,73.4,73.4,78,6.93,0,1563784964,1563826840,11.632222222222222
"{'lon': 2.1098, 'lat': 13.51366}",NE,"{'cl': 'P', 'code': 'PPLC', 'parent': 2595294}",2440485.0,,Niamey,"{'level': 1.0, 'population': 774235}","[{'id': 6308, 'dist': 8, 'kf': 1}]",6.0,13.52,2.11,71.6,71.6,100,3.36,40,1563773622,1563819715,12.803611111111111
"{'lon': 24.464443, 'lat': 52.556667}",BY,"{'cl': 'P', 'code': 'PPL', 'parent': 629631}",622997.0,,Pruzhany,"{'level': 1.0, 'population': 19135}","[{'id': 9535, 'dist': 45, 'kf': 1}]",9.0,52.56,24.46,68.0,64.4,88,8.95,40,1563762350,1563820259,16.085833333333333
"{'lon': 83.868889, 'lat': 26.12306}",IN,"{'cl': 'P', 'code': 'PPL', 'parent': 1253626}",1275589.0,,Belthara,"{'level': 1.0, 'population': 17228}",,11.0,26.12,83.87,101.17,101.17,39,7.85,1,1563752686,1563801405,13.533055555555556
"{'lon': -92.650002, 'lat': 18.58333}",MX,"{'cl': 'P', 'code': 'PPL', 'parent': 3516458}",3527545.0,[{'ru': 'Ð¤Ñ\x80Ð¾Ð½Ñ\x82ÐµÑ\x80Ð°'}],Frontera,"{'level': 1.0, 'population': 22621}","[{'id': 3972, 'dist': 89, 'kf': 1}, {'id': 4029, 'dist': 66, 'kf': 1}]",9.0,18.53,-92.64,81.73,81.73,78,13.53,100,1563795876,1563842943,13.074166666666667
"{'lon': -80.094208, 'lat': 26.934219}",US,"{'cl': 'P', 'code': 'PPL', 'parent': 4167510}",4160610.0,"[{'link': 'http://en.wikipedia.org/wiki/Jupiter%2C_Florida'}, {'post': '33469'}, {'ru': 'Ð®Ð¿Ð¸Ñ\x82ÐµÑ\x80'}]",Jupiter,"{'level': 1.0, 'population': 55156}","[{'id': 734, 'dist': 28, 'kf': 1}, {'id': 8847, 'dist': 41, 'kf': 1}, {'id': 27924, 'dist': 32, 'kf': 1}, {'id': 28927, 'dist': 1, 'kf': 1}, {'id': 29380, 'dist': 4, 'kf': 1}, {'id': 29454, 'dist': 14, 'kf': 1}, {'id': 29701, 'dist': 30, 'kf': 1}, {'id': 31336, 'dist': 44, 'kf': 1}, {'id': 31653, 'dist': 34, 'kf': 1}, {'id': 31856, 'dist': 24, 'kf': 1}, {'id': 31975, 'dist': 32, 'kf': 1}, {'id': 32100, 'dist': 40, 'kf': 1}, {'id': 32101, 'dist': 39, 'kf': 1}, {'id': 32111, 'dist': 27, 'kf': 1}, {'id': 32307, 'dist': 22, 'kf': 1}, {'id': 32466, 'dist': 26, 'kf': 1}, {'id': 32764, 'dist': 21, 'kf': 1}, {'id': 34406, 'dist': 29, 'kf': 1}, {'id': 35364, 'dist': 41, 'kf': 1}]",10.0,26.93,-80.09,79.0,73.99,100,2.68,40,1563791957,1563840838,13.578055555555556
"{'lon': 69.676392, 'lat': 41.294441}",UZ,"{'cl': 'P', 'code': 'PPL', 'parent': 1484838}",1513017.0,,Parkent,"{'level': 1.0, 'population': 35973}","[{'id': 7402, 'dist': 33, 'kf': 1}]",10.0,41.29,69.68,91.4,91.4,36,6.93,23,1563753984,1563806919,14.704166666666667
"{'lon': 100.485283, 'lat': 14.37394}",TH,"{'cl': 'P', 'code': 'PPLA2', 'parent': 1607530}",1619616.0,"[{'link': 'http://en.wikipedia.org/wiki/Bang_Ban_District'}, {'th': 'à¸\x9aà¸²à¸\x87à¸\x9aà¸²à¸¥'}]",Bang Ban,"{'level': 1.0, 'population': 16588}","[{'id': 7917, 'dist': 92, 'kf': 1}, {'id': 7925, 'dist': 81, 'kf': 1}, {'id': 9020, 'dist': 73, 'kf': 1}, {'id': 9191, 'dist': 70, 'kf': 1}, {'id': 10470, 'dist': 70, 'kf': 1}, {'id': 36093, 'dist': 71, 'kf': 1}]",11.0,14.37,100.49,97.0,91.0,56,11.41,20,1563749925,1563796188,12.850833333333334
"{'lon': 85.116669, 'lat': 25.6}",IN,"{'cl': 'P', 'code': 'PPLA', 'parent': 1275715}",1260086.0,,Patna,"{'level': 1.0, 'population': 1599920}","[{'id': 7796, 'dist': 2, 'kf': 1}]",6.0,25.61,85.12,91.4,91.4,63,13.87,90,1563752444,1563801047,13.500833333333333
"{'lon': 117.483063, 'lat': 30.65778}",CN,"{'cl': 'P', 'code': 'PPL', 'parent': 1818058}",1814934.0,,Chizhou,"{'level': 1.0, 'population': 148375}",,9.0,30.67,117.49,95.41,95.41,54,7.52,78,1563744065,1563793888,13.839722222222223
"{'lon': 75.717499, 'lat': 31.432779}",IN,"{'cl': 'P', 'code': 'PPL', 'parent': 1259223}",1462733.0,[{'link': 'http://en.wikipedia.org/wiki/Adampur'}],Adampur,"{'level': 1.0, 'population': 17027}","[{'id': 7803, 'dist': 92, 'kf': 1}]",10.0,31.43,75.72,99.19,99.19,38,4.85,0,1563753997,1563804006,13.891388888888889
"{'lon': -0.7662, 'lat': 6.55121}",GH,"{'cl': 'P', 'code': 'PPL', 'parent': 2300660}",2297313.0,[{'link': 'http://en.wikipedia.org/wiki/Nkawkaw'}],Nkawkaw,"{'level': 1.0, 'population': 47162}",,9.0,6.55,-0.77,70.39,70.39,98,2.01,100,1563774961,1563819759,12.443888888888889
"{'lon': 6.41667, 'lat': 51.366669}",DE,"{'cl': 'P', 'code': 'PPL', 'parent': 2861876}",2891643.0,,Kempen,"{'level': 1.0, 'population': 36312}","[{'id': 4909, 'dist': 16, 'kf': 1}, {'id': 4911, 'dist': 32, 'kf': 1}, {'id': 9322, 'dist': 36, 'kf': 1}, {'id': 10033, 'dist': 23, 'kf': 1}, {'id': 10239, 'dist': 43, 'kf': 1}, {'id': 27709, 'dist': 7, 'kf': 1}, {'id': 28464, 'dist': 43, 'kf': 1}, {'id': 29663, 'dist': 42, 'kf': 1}, {'id': 30081, 'dist': 43, 'kf': 1}, {'id': 31072, 'dist': 44, 'kf': 1}, {'id': 31180, 'dist': 36, 'kf': 1}, {'id': 31423, 'dist': 47, 'kf': 1}, {'id': 31774, 'dist': 25, 'kf': 1}, {'id': 32886, 'dist': 42, 'kf': 1}, {'id': 33069, 'dist': 48, 'kf': 1}, {'id': 33551, 'dist': 48, 'kf': 1}, {'id': 34989, 'dist': 38, 'kf': 1}, {'id': 35469, 'dist': 10, 'kf': 1}]",11.0,51.36,6.42,68.0,62.01,77,5.82,0,1563767019,1563824250,15.8975
"{'lon': -0.2494, 'lat': 51.34948}",GB,"{'cl': 'P', 'code': 'PPLX', 'parent': 2649824}",6690867.0,[{'link': 'http://en.wikipedia.org/wiki/Ewell'}],Ewell,"{'level': 1.0, 'population': 39994}","[{'id': 5088, 'dist': 19, 'kf': 1}, {'id': 5089, 'dist': 22, 'kf': 1}, {'id': 5093, 'dist': 20, 'kf': 1}, {'id': 5168, 'dist': 25, 'kf': 1}, {'id': 5187, 'dist': 3, 'kf': 1}, {'id': 8653, 'dist': 21, 'kf': 1}, {'id': 9031, 'dist': 4, 'kf': 1}, {'id': 9889, 'dist': 10, 'kf': 1}, {'id': 27779, 'dist': 29, 'kf': 1}, {'id': 27986, 'dist': 32, 'kf': 1}, {'id': 29245, 'dist': 18, 'kf': 1}, {'id': 29619, 'dist': 7, 'kf': 1}, {'id': 29700, 'dist': 14, 'kf': 1}, {'id': 30654, 'dist': 20, 'kf': 1}, {'id': 31271, 'dist': 8, 'kf': 1}, {'id': 32399, 'dist': 22, 'kf': 1}, {'id': 33571, 'dist': 27, 'kf': 1}, {'id': 35266, 'dist': 8, 'kf': 1}, {'id': 35620, 'dist': 29, 'kf': 1}, {'id': 35861, 'dist': 14, 'kf': 1}]",12.0,51.35,-0.25,66.0,62.01,82,10.29,90,1563768624,1563825846,15.895
"{'lon': 3.82778, 'lat': 51.335831}",NL,"{'cl': 'P', 'code': 'PPL', 'parent': 2746421}",2746420.0,"[{'de': 'Terneuzen'}, {'en': 'Terneuzen'}, {'eo': 'Terneuzen'}, {'fr': 'Terneuzen'}, {'fy': 'Terneuzen'}, {'id': 'Terneuzen'}, {'it': 'Terneuzen'}, {'li': 'Terneuzen'}, {'nl': 'Terneuzen'}, {'no': 'Terneuzen'}, {'ro': 'Terneuzen'}, {'ru': 'Ð¢ÐµÑ\x80Ð½ÐµÐ·ÐµÐ½'}, {'sv': 'Terneuzen'}, {'zea': 'Terneuzen'}]",Terneuzen,"{'level': 1.0, 'population': 27930}","[{'id': 4839, 'dist': 46, 'kf': 1}, {'id': 5221, 'dist': 37, 'kf': 1}, {'id': 5235, 'dist': 38, 'kf': 1}, {'id': 9190, 'dist': 37, 'kf': 1}, {'id': 29519, 'dist': 41, 'kf': 1}, {'id': 32004, 'dist': 46, 'kf': 1}, {'id': 33567, 'dist': 33, 'kf': 1}, {'id': 33711, 'dist': 34, 'kf': 1}, {'id': 34551, 'dist': 41, 'kf': 1}, {'id': 34664, 'dist': 13, 'kf': 1}, {'id': 34885, 'dist': 43, 'kf': 1}]",11.0,51.33,3.84,66.2,62.01,77,12.75,96,1563767647,1563824860,15.8925
"{'lon': 33.723888, 'lat': 39.357498}",TR,"{'cl': 'P', 'code': 'PPLA2', 'parent': 307513}",310641.0,,Kaman,"{'level': 1.0, 'population': 28605}",,9.0,39.36,33.73,69.49,69.49,52,15.39,35,1563762939,1563815220,14.5225
